Transaction_ID,Date,Category,Region,Store,Quantity,Discount_Percent,Sales,Customer_Rating
TX1001,2025-01-01,Grocery,East,Online,3,25,32.83,3.2
TX1002,2025-01-02,Home,North,Store A,9,0,790.85,3.9
TX1003,2025-01-03,Clothing,North,Online,2,5,75.57,2.6
TX1004,2025-01-04,Beauty,South,Online,5,15,138.07,4.1
TX1005,2025-01-05,Beauty,West,Online,5,0,131.33,4.3
TX1006,2025-01-06,Home,East,Store A,5,5,250.53,3.7
TX1007,2025-01-07,Grocery,South,Store B,7,0,76.14,3.4
TX1008,2025-01-08,Beauty,West,Store B,4,15,139.37,3.8
TX1009,2025-01-09,Grocery,West,Store A,7,10,140.72,
TX1010,2025-01-10,Clothing,West,Store B,5,5,182.12,3.7
TX1011,2025-01-11,Electronics,South,Online,7,20,606.21,4.4
TX1012,2025-01-12,Home,South,Online,5,0,291.75,4.0
TX1013,2025-01-13,Beauty,East,Store C,2,10,,4.5
TX1014,2025-01-14,Clothing,South,Online,7,0,252.79,4.3
TX1015,2025-01-15,Grocery,West,Online,5,0,98.06,1.9
TX1016,2025-01-16,Clothing,East,Store B,7,10,259.28,4.4
TX1017,2025-01-17,Home,North,Store C,6,15,287.26,4.8
TX1018,2025-01-18,Beauty,South,Online,2,25,34.38,3.3
TX1019,2025-01-19,Home,South,Store C,9,10,418.86,3.6
TX1020,2025-01-20,Electronics,South,Store B,9,15,962.9,3.4
TX1021,2025-01-21,Electronics,East,Online,4,15,310.37,4.5
TX1022,2025-01-22,Beauty,North,Store A,8,0,249.46,4.3
TX1023,2025-01-23,Grocery,North,Store B,9,15,119.59,3.5
TX1024,2025-01-24,Grocery,East,Online,9,20,145.23,4.7
TX1025,2025-01-25,Beauty,West,Online,1,10,33.03,4.6
TX1026,2025-01-26,Clothing,East,Store B,9,15,443.33,4.7
TX1027,2025-01-27,Clothing,West,Store A,5,10,173.93,4.3
TX1028,2025-01-28,Beauty,West,Store A,4,20,77.27,4.2
TX1029,2025-01-29,Clothing,South,Store A,6,15,248.47,4.2
TX1030,2025-01-30,Grocery,West,Online,4,5,75.73,5.0
TX1031,2025-01-31,Electronics,North,Store A,7,0,912.11,3.8
TX1032,2025-02-01,Home,West,Store C,2,5,135.18,4.3
TX1033,2025-02-02,Grocery,West,Store A,7,15,121.13,4.4
TX1034,2025-02-03,Home,West,Store A,9,5,2400.0,3.4
TX1035,2025-02-04,Electronics,South,Online,1,15,83.81,3.8
TX1036,2025-02-05,Grocery,East,Store B,8,20,129.71,4.0
TX1037,2025-02-06,Grocery,South,Store A,5,15,95.41,4.8
TX1038,2025-02-07,Clothing,North,Store B,5,0,264.18,3.9
